Regent,Com_1,Com_2,Com_3,Com_4,Num_1,Num_2,Num_3,Num_4
sodium cacodylate,sodium,cacodylate,,,1,1,,
potassium cacodylate,potassium,cacodylate,,,1,1,,
cacodylic acid,cacodylate,,,,1,,,
citric acid,citrate,,,,1,,,
succinic acid,succinate,,,,1,,,
mops,mops,,,,1,,,
mes,mes,,,,1,,,
pipes,pipes,,,,1,,,
hepes,hepes,,,,1,,,
ada,ada,,,,1,,,
dl-malic acid,malate,,,,1,,,
bis-tris,bis-tris,,,,1,,,
tris,tris,,,,1,,,
bis-tris propane,bis-tris propane,,,,1,,,
imidazole,imidazole,,,,1,,,
bicine,bicine,,,,1,,,
ches,ches,,,,1,,,
caps,caps,,,,1,,,
phosphate/citrate,phosphate,citrate,,,0.5,0.5,,
mes/hepes,mes,hepes,,,0.5,0.5,,
mops/hepes,mops,hepes,,,0.5,0.5,,
pipes/hepes,pipes,hepes,,,0.5,0.5,,
mes/imidazole ,imidazole,mes,,,0.5,0.5,,
tacsimate,tacsimate,,,,1,,,
mmt,mmt,,,,1,,,
pctp,pctp,,,,1,,,
spg,spg,,,,1,,,
mib,mib,,,,1,,,
hexammine cobalt(iii) chloride,hexammine cobalt(iii),chloride,,,1,3,,
ytterbium(iii) chloride,ytterbium(iii) ,chloride,,,1,3,,
gadolinium(iii) chloride,gadolinium(iii),chloride,,,1,3,,
cadmium(ii) chloride,cadmium(ii),chloride,,,1,2,,
zinc(ii) chloride,zinc(ii),chloride,,,1,2,,
copper(ii) chloride,copper(ii),chloride,,,1,2,,
nickel(ii) chloride,nickel(ii),chloride,,,1,2,,
cobalt(ii) chloride,cobalt(ii),chloride,,,1,2,,
iron(iii) chloride,iron(iii),chloride,,,1,3,,
manganese(ii) chloride,manganese(ii),chloride,,,1,2,,
chromium(iii) chloride,chromium(iii),chloride,,,1,3,,
yttrium(iii) chloride,yttrium(iii),chloride,,,1,3,,
aluminium chloride,aluminium,chloride,,,1,3,,
barium chloride,barium,chloride,,,1,2,,
strontium chloride,strontium,chloride,,,1,2,,
calcium chloride,calcium,chloride,,,1,2,,
magnesium chloride,magnesium,chloride,,,1,2,,
cesium chloride,cesium,chloride,,,1,1,,
potassium chloride,potassium,chloride,,,1,1,,
sodium chloride,sodium,chloride,,,1,1,,
lithium chloride,lithium,chloride,,,1,1,,
potassium fluoride,potassium,fluoride,,,1,1,,
sodium fluoride,sodium,fluoride,,,1,1,,
ammonium fluoride,ammonium,fluoride,,,1,1,,
ammonium chloride,ammonium,chloride,,,1,1,,
potassium bromide,potassium,bromide,,,1,1,,
sodium bromide,sodium,bromide,,,1,1,,
ammonium bromide,ammonium,bromide,,,1,1,,
potassium iodide,potassium,iodide,,,1,1,,
sodium iodide,sodium,iodide,,,1,1,,
ammonium iodide,ammonium,iodide,,,1,1,,
lithium nitrate,lithium,nitrate,,,1,1,,
sodium nitrate,sodium,nitrate,,,1,1,,
potassium nitrate,potassium,nitrate,,,1,1,,
magnesium nitrate,magnesium,nitrate,,,1,2,,
ammonium nitrate,ammonium,nitrate,,,1,1,,
ammonium sulfate,ammonium,sulfate,,,2,1,,
lithium sulfate,lithium,sulfate,,,2,1,,
sodium sulfate,sodium,sulfate,,,2,1,,
potassium sulfate,potassium,sulfate,,,2,1,,
cadmium(ii) sulfate,cadmium(ii),sulfate,,,1,1,,
iron(ii) sulfate,iron(ii),sulfate,,,1,1,,
zinc(ii) sulfate,zinc(ii),sulfate,,,1,1,,
magnesium sulfate,magnesium,sulfate,,,1,1,,
ammonium phosphate,ammonium,phosphate,,,3,1,,
ammonium phosphate dibasic,ammonium,phosphate dibasic,,,2,1,,
ammonium phosphate monobasic,ammonium,phosphate monobasic,,,1,1,,
lithium phosphate,lithium,phosphate,,,3,1,,
sodium phosphate,sodium,phosphate,,,3,1,,
sodium phosphate dibasic,sodium,phosphate dibasic,,,2,1,,
sodium phosphate monobasic,sodium,phosphate monobasic,,,1,1,,
potassium/sodium phosphate,potassium,sodium,phosphate,,1.5,1.5,1,
sodium phosphate dibasic/potassium phosphate monobasic,sodium,potassium,phosphate dibasic, phosphate monobasic,1,0.5,0.5,0.5
sodium phosphate monobasic /potassium phosphate dibasic,sodium,potassium,phosphate monobasic,phosphate dibasic,0.5,1,0.5,0.5
potassium phosphate,potassium,phosphate,,,3,1,,
potassium phosphate dibasic,potassium,phosphate dibasic,,,2,1,,
potassium phosphate monobasic,potassium,phosphate monobasic,,,1,1,,
sodium bicarbonate,sodium,bicarbonate,,,1,1,,
ammonium bicarbonate,ammonium,bicarbonate,,,1,1,,
ammonium formate,ammonium,formate,,,1,1,,
ammonium acetate,ammonium,acetate,,,1,1,,
sodium formate,sodium,formate,,,1,1,,
potassium formate,potassium,formate,,,1,1,,
magnesium formate,magnesium,formate,,,1,2,,
lithium acetate,lithium,acetate,,,1,1,,
sodium acetate,sodium,acetate,,,1,1,,
potassium acetate,potassium,acetate,,,1,1,,
magnesium acetate,magnesium,acetate,,,1,2,,
calcium acetate,calcium,acetate,,,1,2,,
zinc(ii) acetate,zinc(ii),acetate,,,1,2,,
praseodymium(iii) acetate,praseodymium(iii),acetate,,,1,3,,
sodium malonate,sodium,malonate,,,2,1,,
sodium tartrate,sodium,tartrate,,,2,1,,
potassium sodium tartrate,potassium,sodium,tartrate,,1,1,1,
ammonium tartrate,ammonium,tartrate,,,2,1,,
ammonium citrate monobasic,ammonium,citrate monobasic,,,1,1,,
ammonium citrate dibasic,ammonium,citrate dibasic,,,2,1,,
ammonium citrate tribasic,ammonium,citrate,,,3,1,,
lithium citrate,lithium,citrate,,,3,1,,
sodium citrate,sodium,citrate,,,3,1,,
potassium citrate,potassium,citrate,,,3,1,,
di-sodium succinate,sodium,succinate,,,2,1,,
di-sodium l-malate,sodium,malate,,,2,1,,
sodium thiocyanate,sodium,thiocyanate,,,1,1,,
potassium thiocyanate,potassium,thiocyanate,,,1,1,,
sodium dithionite,sodium,dithionite,,,2,1,,
sodium azide,sodium,azide,,,1,1,,
sodium hydroxide,sodium,hydroxide,,,1,1,,
potassium hydroxide,potassium,hydroxide,,,1,1,,
dichloromethane,dichloromethane,,,,1,,,
propan-2-one,propan-2-one,,,,1,,,
dimethyl sulfoxide,dimethyl sulfoxide,,,,1,,,
trimethylamine,trimethylamine,,,,1,,,
trimethylamine n-oxide,trimethylamine n-oxide,,,,1,,,
tert-butanol,tert-butanol,,,,1,,,
propan-2-ol,propan-2-ol,,,,1,,,
"2-methylpentane-2,4-diol","2-methylpentane-2,4-diol",,,,1,,,
formamide,formamide,,,,1,,,
sarcosine,sarcosine,,,,1,,,
betaine,betaine,,,,1,,,
ethyl acetate,ethyl acetate,,,,1,,,
"2,2,2-trifluroroethanol","2,2,2-trifluroroethanol",,,,1,,,
"1,1,1,3,3,3-hexafluoropropan-2-ol","1,1,1,3,3,3-hexafluoropropan-2-ol",,,,1,,,
ethanenitrile,ethanenitrile,,,,1,,,
tetrahydrofuran,tetrahydrofuran,,,,1,,,
"1,4-dioxane","1,4-dioxane",,,,1,,,
diethylene glycol,diethylene glycol,,,,1,,,
"hexane-1,6-diol","hexane-1,6-diol",,,,1,,,
heptane-1-thiol,heptane-1-thiol,,,,1,,,
6-aminohexanoic acid,6-aminohexanoic acid,,,,1,,,
"pentane-1,5-diamine","pentane-1,5-diamine",,,,1,,,
"hexane-1,6-diamine","hexane-1,6-diamine",,,,1,,,
"octane-1,8-diamine","octane-1,8-diamine",,,,1,,,
spermidine,spermidine,,,,1,,,
spermine,spermine,,,,1,,,
ldao,ldao,,,,1,,,
hexadecyltrimethylammonium bromide,hexadecyltrimethylammonium bromide,,,,1,,,
jeffamine ed-2003,jeffamine ed-2003,,,,1,,,
jeffamine ed-2001,jeffamine ed-2001,,,,1,,,
jeffamine m-600,jeffamine m-600,,,,1,,,
chaps,chaps,,,,1,,,
chapso,chapso,,,,1,,,
n-dodecyl-b-d-maltoside,n-dodecyl-b-d-maltoside,,,,1,,,
n-octyl-b-d-glucoside,n-octyl-b-d-glucoside,,,,1,,,
adp,adp,,,,1,,,
amppcp,amppcp,,,,1,,,
amppnp,amppnp,,,,1,,,
atp,atp,,,,1,,,
atprs,atprs,,,,1,,,
nad,nad,,,,1,,,
nadp,nadp,,,,1,,,
d-trehalose,d-trehalose,,,,1,,,
d-sucrose,d-sucrose,,,,1,,,
myo-inositol,myo-inositol,,,,1,,,
d-galactose,d-galactose,,,,1,,,
d-glucose,d-glucose,,,,1,,,
d-sorbitol,d-sorbitol,,,,1,,,
d-xylitol,d-xylitol,,,,1,,,
glycerol,glycerol,,,,1,,,
"propane-1,2-diol","propane-1,2-diol",,,,1,,,
"butane-1,3-diol","butane-1,3-diol",,,,1,,,
butan-1-ol,butan-1-ol,,,,1,,,
propan-1-ol,propan-1-ol,,,,1,,,
ethylene glycol,ethylene glycol,,,,1,,,
ethanol,ethanol,,,,1,,,
methanol,methanol,,,,1,,,
(4-carboxyphenyl)mercury hydrate,(4-carboxyphenyl)mercury hydrate,,,,1,,,
phenol,phenol,,,,1,,,
benzamidine,benzamidine,,,,1,,,
pmsf,pmsf,,,,1,,,
ndsb-201,ndsb-201,,,,1,,,
ndsb-256,ndsb-256,,,,1,,,
ndsb-221,ndsb-221,,,,1,,,
ndsb-211,ndsb-211,,,,1,,,
ndsb-195,ndsb-195,,,,1,,,
l-argininamide,l-argininamide,,,,1,,,
l-arginine,l-arginine,,,,1,,,
l-proline,l-proline,,,,1,,,
taurine,taurine,,,,1,,,
glycine,glycine,,,,1,,,
glycyl-glycine,glycyl-glycine,,,,1,,,
glycyl-glycyl-glycine,glycyl-glycyl-glycine,,,,1,,,
phosphoglyceric acid,phosphoglyceric acid,,,,1,,,
edta,edta,,,,1,,,
egta,egta,,,,1,,,
urea,urea,,,,1,,,
guanidine,guanidine,,,,1,,,
gsh,gsh,,,,1,,,
tcep,tcep,,,,1,,,
dtt,dtt,,,,1,,,
2-mercaptoethanol,2-mercaptoethanol,,,,1,,,
tryptone,tryptone,,,,1,,,
sokalan cp 42,sokalan cp 42,,,,1,,,
sokalan cp 45,sokalan cp 45,,,,1,,,
sokalan cp 5,sokalan cp 5,,,,1,,,
sokalan cp 7,sokalan cp 7,,,,1,,,
sokalan hp 56,sokalan hp 56,,,,1,,,
sokalan pa 25 cl,sokalan pa 25 cl,,,,1,,,
glycerol ethoxylate,glycerol ethoxylate,,,,1,,,
pentaerythritol ethoxylate (15/4 eo/oh),pentaerythritol ethoxylate (15/4 eo/oh),,,,1,,,
pentaerythritol ethoxylate (3/4 eo/oh),pentaerythritol ethoxylate (3/4 eo/oh),,,,1,,,
pentaerythritol propoxylate (5/4 po/oh),pentaerythritol propoxylate (5/4 po/oh),,,,1,,,
r-pga,r-pga,,,,1,,,
poly(acrylic acid sodium salt) 2100,poly(acrylic acid sodium salt) 2100,,,,1,,,
poly(acrylic acid sodium salt) 5100,poly(acrylic acid sodium salt) 5100,,,,1,,,
poly(acrylic acid-co-maleic acid) solution,poly(acrylic acid-co-maleic acid) solution,,,,1,,,
polyethylene glycol 1000,polyethylene glycol 1000,,,,1,,,
polyethylene glycol 10000,polyethylene glycol 10000,,,,1,,,
polyethylene glycol 1500,polyethylene glycol 1500,,,,1,,,
polyethylene glycol 200,polyethylene glycol 200,,,,1,,,
polyethylene glycol 2000,polyethylene glycol 2000,,,,1,,,
polyethylene glycol 20000,polyethylene glycol 20000,,,,1,,,
polyethylene glycol 300,polyethylene glycol 300,,,,1,,,
polyethylene glycol 3000,polyethylene glycol 3000,,,,1,,,
polyethylene glycol 3350,polyethylene glycol 3350,,,,1,,,
polyethylene glycol 400,polyethylene glycol 400,,,,1,,,
polyethylene glycol 4000,polyethylene glycol 4000,,,,1,,,
polyethylene glycol 5000,polyethylene glycol 5000,,,,1,,,
polyethylene glycol 600,polyethylene glycol 600,,,,1,,,
polyethylene glycol 6000,polyethylene glycol 6000,,,,1,,,
polyethylene glycol 8000,polyethylene glycol 8000,,,,1,,,
polyethylene glycol monomethyl ether 2000,polyethylene glycol monomethyl ether 2000,,,,1,,,
polyethylene glycol monomethyl ether 350,polyethylene glycol monomethyl ether 350,,,,1,,,
polyethylene glycol monomethyl ether 500,polyethylene glycol monomethyl ether 500,,,,1,,,
polyethylene glycol monomethyl ether 5000,polyethylene glycol monomethyl ether 5000,,,,1,,,
polyethylene glycol monomethyl ether 550,polyethylene glycol monomethyl ether 550,,,,1,,,
polypropylene glycol 400,polypropylene glycol 400,,,,1,,,
ppgba 230,ppgba 230,,,,1,,,
ppgba 400,ppgba 400,,,,1,,,
ppgba 2000,ppgba 2000,,,,1,,,
polyvinyl alcohol,polyvinyl alcohol,,,,1,,,
polyvinylpyrrolidone,polyvinylpyrrolidone,,,,1,,,
ethylene imine polymer,ethylene imine polymer,,,,1,,,
