Origin,Protect
"2-methylpentane-2,4-diol",^2-methylpentane-2#4-diol
"(+-)-2-methyl-2,4-pentanediol",(+-)-2-methyl-2#4-pentanediol
"(+/-) 2-methyl-2,4-pentanediol",(+/-)^2-methyl-2#4-pentanediol
"(+/-) 2-methyl-2,4-pentanediol (mpd)",(+/-)^2-methyl-2#4-pentanediol (mpd)
"(+/-)-2-methyl-2,4-pentanediol",(+/-)-2-methyl-2#4-pentanediol
"1,1,3-trimethyl-1,3-propanediol",^1#1#3-trimethyl-1#3-propanediol
"1,1,3-trimethyltrimethylenediol",^1#1#3-trimethyltrimethylenediol
"1,3,3-trimethyl-1,3-propanediol",^1#3#3-trimethyl-1#3-propanediol
"1,3-dimethyl-3-hydroxybutanol",^1#3-dimethyl-3-hydroxybutanol
"1,3-trimethyltrimethylenediol",^1#3-trimethyltrimethylenediol
"2,4-dihydroxy-2-methylpentane",^2#4-dihydroxy-2-methylpentane
"2,4-pentanediol, 2-methyl-",^2#4-pentanediol#2-methyl-
"2-methyl pentane-2,4-diol",^2-methyl pentane-2#4-diol
"2-methyl-2,4-pentandiol",^2-methyl-2#4-pentandiol
"2-methyl-2,4-pentanediol",^2-methyl-2#4-pentanediol
"2-methyl-pentane-2,4-diol",^2-methyl-pentane-2#4-diol
"2-methylpentan-2,4-diol",^2-methylpentan-2#4-diol
"2methyl-2,4-pentanediol",^2methyl-2#4-pentanediol
"4-methyl-2,4-pentanediol",^4-methyl-2#4-pentanediol
"r-(-)-2-methyl-2,4-pentanediol",r-(-)-2-methyl-2#4-pentanediol
"1,1,1,3,3,3-hexafluoropropan-2-ol",^1#1#1#3#3#3-hexafluoropropan-2-ol
"1,1,1,3,3,3-hexafluoro isopropanol",^1#1#1#3#3#3-hexafluoro isopropanol
"1,1,1,3,3,3-hexafluoro propan-2-ol",^1#1#1#3#3#3-hexafluoro propan-2-ol
"1,1,1,3,3,3-hexafluoro-2-hydroxypropane",^1#1#1#3#3#3-hexafluoro-2-hydroxypropane
"1,1,1,3,3,3-hexafluoro-2-propanol",^1#1#1#3#3#3-hexafluoro-2-propanol
"1,1,1,3,3,3-hexafluoro-isopropanol",^1#1#1#3#3#3-hexafluoro-isopropanol
"1,1,1,3,3,3-hexafluoro-propan-2-ol",^1#1#1#3#3#3-hexafluoro-propan-2-ol
"1,1,1,3,3,3-hexafluoroisopropane",^1#1#1#3#3#3-hexafluoroisopropane
"1,1,1,3,3,3-hexafluoroisopropanol",^1#1#1#3#3#3-hexafluoroisopropanol
"1,1,1,3,3,3-hexafluoroisopropyl alcohol",^1#1#1#3#3#3-hexafluoroisopropyl alcohol
"1,1,1,3,3,3-hexafluoropropanol",^1#1#1#3#3#3-hexafluoropropanol
"1,1,1,3,3,3-hexafluoropropanol-2",^1#1#1#3#3#3-hexafluoropropanol-2
"1,1,3,3,3-hexafluoro-2-propanol",^1#1#3#3#3-hexafluoro-2-propanol
"1,1,3,3,3-hexafluoroisopropanol",^1#1#3#3#3-hexafluoroisopropanol
"2,2,2-trifluoro-1-(trifluoromethyl)ethanol",^2#2#2-trifluoro-1-(trifluoromethyl)ethanol
"2-propanol,1,1,3,3,3-hexafluoro-",^2-propanol#1#1#3#3#3-hexafluoro-
"ethanol, 2,2,2-trifluoro-1-(trifluoromethyl)-",ethanol#2#2#2-trifluoro-1-(trifluoromethyl)-
"hexafluoro-2-propanol, 1,1,1,3,3,3-",hexafluoro-2-propanol#1#1#1#3#3#3-
"propane-1,2-diol",propane-1#2-diol
"(+-)-1,2-propanediol",(+-)-1#2-propanediol
"(+/-)-1,2-propanediol",(+/-)-1#2-propanediol
"(rs)-1,2-propanediol",(rs)-1#2-propanediol
"1, 2-propanediol",^1#2-propanediol
"1,2 -propanediol",^1#2 -propanediol
"1,2 propanediol",^1#2 propanediol
"1,2-dihydroxypropane",^1#2-dihydroxypropane
"1,2-propandiol",^1#2-propandiol
"1,2-propane diol",^1#2-propane diol
"1,2-propane-diol",^1#2-propane-diol
"1,2-propylene glycol",^1#2-propylene glycol
"1,2-propyleneglycol",^1#2-propyleneglycol
"1,2-propylenglykol",^1#2-propylenglykol
"2,3-propanediol",^2#3-propanediol
"dl-1,2-propanediol",dl-1#2-propanediol
"1,2,3-heptanetriol",^1#2#3-heptanetriol
"butane-1,3-diol",butane-1#3-diol
"(+/-)-1,3-butanediol",(+/-)-1#3-butanediol
"(rs)-1,3-butandiol",(rs)-1#3-butandiol
"1,3 -butanediol",^1#3 -butanediol
"1,3 butylene glycol",^1#3 butylene glycol
"1,3-butandiol",^1#3-butandiol
